,Country,Product,Flow,Date,value
259,France,Heat,Total energy supply (PJ),2001,0
260,France,Total,Total energy supply (PJ),2001,10900.45964
261,Germany,"Coal, peat and oil shale",Total energy supply (PJ),2001,3621.46644
262,Germany,"Crude, NGL and feedstocks",Total energy supply (PJ),2001,4585.553888
263,Germany,Oil products,Total energy supply (PJ),2001,764.1807985
264,Germany,Natural gas,Total energy supply (PJ),2001,3164.841899
265,Germany,Nuclear,Total energy supply (PJ),2001,1868.781818
266,Germany,Renewables and waste,Total energy supply (PJ),2001,497.5156437
267,Germany,Electricity,Total energy supply (PJ),2001,13.16520001
268,Germany,Heat,Total energy supply (PJ),2001,-0.152001774
269,Germany,Total,Total energy supply (PJ),2001,14515.35369
270,Greece,"Coal, peat and oil shale",Total energy supply (PJ),2001,389.7037475
271,Greece,"Crude, NGL and feedstocks",Total energy supply (PJ),2001,835.0619785
272,Greece,Oil products,Total energy supply (PJ),2001,-188.5546021
273,Greece,Natural gas,Total energy supply (PJ),2001,70.46550197
274,Greece,Nuclear,Total energy supply (PJ),2001,0
275,Greece,Renewables and waste,Total energy supply (PJ),2001,59.26479877
276,Greece,Electricity,Total energy supply (PJ),2001,8.999999708
277,Greece,Heat,Total energy supply (PJ),2001,0
278,Greece,Total,Total energy supply (PJ),2001,1174.941429
279,Hungary,"Coal, peat and oil shale",Total energy supply (PJ),2001,151.8659207
280,Hungary,"Crude, NGL and feedstocks",Total energy supply (PJ),2001,309.9541254
281,Hungary,Oil products,Total energy supply (PJ),2001,-42.21079844
282,Hungary,Natural gas,Total energy supply (PJ),2001,448.4331006
283,Hungary,Nuclear,Total energy supply (PJ),2001,154.7318188
284,Hungary,Renewables and waste,Total energy supply (PJ),2001,37.65519997
285,Hungary,Electricity,Total energy supply (PJ),2001,11.41559909
286,Hungary,Heat,Total energy supply (PJ),2001,0
287,Hungary,Total,Total energy supply (PJ),2001,1071.844958
288,Ireland,"Coal, peat and oil shale",Total energy supply (PJ),2001,114.6723657
289,Ireland,"Crude, NGL and feedstocks",Total energy supply (PJ),2001,144.7450448
290,Ireland,Oil products,Total energy supply (PJ),2001,182.7977981
291,Ireland,Natural gas,Total energy supply (PJ),2001,150.0452991
292,Ireland,Nuclear,Total energy supply (PJ),2001,0
293,Ireland,Renewables and waste,Total energy supply (PJ),2001,9.789755792
294,Ireland,Electricity,Total energy supply (PJ),2001,-0.8999987148
295,Ireland,Heat,Total energy supply (PJ),2001,0
296,Ireland,Total,Total energy supply (PJ),2001,601.1502648
297,Italy,"Coal, peat and oil shale",Total energy supply (PJ),2001,559.3638111
298,Italy,"Crude, NGL and feedstocks",Total energy supply (PJ),2001,3984.25274
